  BV号,标题,UP主,分区,播放量,弹幕数,收藏,硬币,分享,点赞,发布时间,简介,AV号
BV1Q4LJz8EED,大伟哥在交大演讲直言：绝区零方向不对，须弥未能清晰表达，翁法罗斯表达欲又太强,原神同人菌,手机游戏 (172),918308,559,5403,408,1493,57599,2025-04-25 17:39:15,,114397913552334
BV1GLwCezEYR,白露遛猪,本柠,网络游戏 (65),917195,69,3638,80,247,57809,2025-01-19 21:52:47,-,113855338388638
BV1QawbehEi9,被抢劫时，你的专业怎么救你的开拓者！,-路人亦ONE-,MMD·3D (25),916134,1059,13985,730,2026,105922,2025-01-21 12:55:00,"模型：米哈游/神帝宇/流云景
动作镜头：-路人亦ONE-/芙尔的螺丝-Ful
场景：米哈游/手席单推人
渲染节点：Festivize/克里斯提亚娜
配音统筹、砂金、真理、万敌@xyxy小宇    
开拓者@鲜火杂音    
黑塔、飞霄@阿贝花mmm ",113864549079441
BV1xCceevE3F,【崩坏星穹铁道】3.0翁法罗斯 新增任务/成就合集,莴苣某人,手机游戏 (172),914967,1494,3402,4043,384,7569,2025-01-15 12:59:48,"开拓任务「翁法罗斯」-「落木逐火英雄纪」
●参与条件：完成开拓任务「雅利洛-Ⅵ」-「静静的星河」
※本内容支持通过「终末视界•飞跃开拓」功能提前体验",113830558435721
BV1G5feYBEhj,疑似翁法罗斯后续剧情开展，真的是太酷啦！,秋刀鱼鱼鱼w,手机游戏 (172),906301,2289,17655,682,12176,129682,2025-01-22 23:19:31,-,113872652541903
BV11KcieBEvo,崩铁史上最难cos的角色出现了！,蛙哥游戏控,手机游戏 (172),906033,110,3062,165,111,44270,2025-01-16 12:00:00,,113831464405816
BV1JD6VYmE1H,谭晶x崩坏星穹铁道 翁法罗斯主题曲《何者》1月2日上线，现已开启预约,谭晶,音乐综合 (130),905633,5628,12869,7957,6011,124229,2024-12-30 19:51:46,"英雄、神明、傀儡、囚徒，究竟谁是你？你又是谁？
亲爱的开拓者你们好，我是谭晶，翁法罗斯的英雄史诗即将拉开序幕，创世的凯歌将要奏响，由我为《崩坏：星穹铁道》演唱的翁法罗斯主题曲《何者》将于1月2日0点准时上线QQ音乐、酷狗音乐、酷我音乐，期待大家的预约收听。",113741622479106
BV1emdVYCE4f,黑天鹅不语，只是一味的仰头！,卡了麻麻,手机游戏 (172),904981,201,8291,446,2714,65199,2025-04-10 18:19:22,,114313155054346
BV1oLN3eFESV,当开拓者可以接触遐蝶后,我的快乐小孩,MMD·3D (25),894429,180,24194,1224,2352,88019,2025-02-08 17:37:56,"模型：miHoYo/神帝宇/流云景

动作：Luan Animations

场景：miHoYo/手席单推人/克里斯提亚娜

渲染：festivity",113967577962466
BV1dSQoY4E5P,黄金裔虐待缇宝铁证（纯娱乐,卡了麻麻,手机游戏 (172),888418,23,4907,202,275,53034,2025-03-19 17:50:59,,114188466851683
BV15gfoYzEPK,那很联动了,我可莉害了V,手机游戏 (172),881317,827,47796,4428,2896,147445,2025-01-25 17:24:46,"崩坏：星穹铁道创意剪辑视频
借物表：
模型：miHOYO/神帝宇、葵岚、 小唐、 Tenki、辰奕奕奕
渲染预设：小二今天吃啥啊、 MiaoBox
动作：susuki、SAYN先生",113888255280589
BV1oj5fz2Ewp,☝️🤓发给你玩星铁的朋友然后什么也别说,不摸鱼的海,GMV (121),880589,4756,32224,14809,22036,109409,2025-04-20 12:32:21,"（赛飞儿身材太哇塞所以被投诉涩情低俗了喵，
所以改了一个打码优化版，重要部位都已打码，
请申鹤明查，以后主包再也不敢擦边了喵）


整活儿版不眠之夜。。。。

灵感来源：
  某些观众在缇宝pv下刷的“车窗外 这夜色 流光溢彩”
  以及给那刻夏刷的“记忆是梦的开场白~”

๑乛◡乛๑

2P是对比版，但这个确实不是按找相似镜头的方式剪的，你们要那就发一个吧。",114368402492085
BV1dJ6fYvE65,《星穹铁道玩家看3.0前瞻现状》,企鹅带带北极熊,手机游戏 (172),880012,6067,5212,2262,602,60461,2025-01-01 22:52:37,真的不关注一下北极熊吗 T T,113753618123399
BV1ExwHepEcu,翁法罗斯，有十三位泰坦？独家解析，黑潮高能细节！,Jerryprpr,手机游戏 (172),875899,2492,17952,2654,1029,96362,2025-01-20 19:24:16,感谢开拓者关注！ 欢迎加入星铁剧情交流群：923940488,113860421885232
BV1MtdSYPEqd,【崩铁整活】那刻夏：哥们在翁法罗斯，想骂那个骂那个！,没吃药的烦烦,日常 (21),874947,562,19430,5341,4405,59178,2025-04-11 18:30:00,隔壁：这好像不是演的…,114318322503829
BV12UPVeHEon,【星穹铁道】3.1版本新增任务/雅努斯迷津/门扉之启，王座之终/非自然死亡/常有别离时/翁法罗斯/星穹铁道3.1,你的影月月,手机游戏 (172),868789,1442,5314,4479,547,15230,2025-02-26 13:15:37,"空间站黑塔-任务：BV1oa4y1V7Az
空间站黑塔-宝箱：BV1YM4y1a7wf
空间站黑塔-黑塔币：BV1pz4y1Y79r
雅利洛-Ⅵ-任务：BV1fL411Y71D
雅利洛-Ⅵ-宝箱：BV1mm4y1y77J
雅利洛-Ⅵ-冬城盾：BV19M4y187vT
仙舟罗浮-任务：BV11T41187jy
仙舟罗浮-宝箱：BV1sz4y1Y7mP
仙舟罗浮-巡镝：BV17s4y1R7SA
匹诺康尼-任务：BV1fB421B7j3
匹诺康尼-宝箱：BV1aZ421U7iu
匹诺康尼-贴纸：BV1TC41167zr
翁法罗斯-任务：BV1x1ceePE3A
翁法罗斯-宝箱：BV16Wc6ekEoP
有帮助的话还请三连支持一下！",114068459358573
BV11r6fYnEX7,转发给你同时玩崩三和崩铁的朋友然后什么都不要说,星海神游,单机游戏 (17),863358,3766,21384,2236,5602,106063,2025-01-01 23:09:40,-,113753718785300
BV1jQP5euEq5,【崩坏星穹铁道】3.1翁法罗斯 雅努萨波利斯+神悟树庭 宝箱全收集 战利品+若虫+贼灵+黄金替罪羊+预言算碑+黄金短矛+虫鸣秘闻,莴苣某人,手机游戏 (172),858492,1548,3557,5928,456,8858,2025-02-26 19:16:47,"宝箱计数逻辑：
裸露战利品：计入地图成就数，计入米游社成就数
贼灵：计入地图成就数，不计入米游社成就数
强敌挑战、预言算碑、黄金短矛、黄金替罪羊、扎格列斯之手战利品：不计入地图成就数，只计入米游社成就数",114069851868133
BV1CK5fzWExf,【星穹金曲】火力全开😠👊,-不灵-,MMD·3D (25),856373,10816,41703,17195,11604,109939,2025-04-20 20:00:00,"借物表：
[MOTION] ：ue5动作捕捉
[CAMER]：不灵
[MODEL] ：miHoYo/流云景/神帝宇/叶以/RK贝今天也很快乐
[MME]：小二今天吃啥啊
补充：
大缇宝：mihoyo/烦恼死的夏洛/填字小檀桌/林槿
头模@烦恼死的夏洛
身体@填字小檀桌/林槿",114368318542392
BV1J2wweTEdt,【崩铁云剧场】翁法罗斯三人行2：矛和盾,藏根的云,MMD·3D (25),849801,380,7101,391,2354,81513,2025-01-19 19:00:00,"模型：miHoYo/流云景/神帝宇
渲染：Festivity/克里斯
配音：是个馒头诶
剧本/动作/视频制作：藏根的云",113847100768752
BV1oFfaYuEMe,【星穹铁道新春会】《于时空之湖上回响》- 翁法罗斯印象手书,帷幕VMovie, (),0,0,0,0,0,0,2025-01-25 19:00:00,是大黑塔！好耶！\n求求你们不要发刀好吗崩坏星穹铁道\n这次算是小小的致敬了一下《星际穿越》，在帷幕娘心中，诺兰的设计和感觉真的是无敌强大，是帷幕娘最喜欢的导演之一！\n希望大家喜欢这个作品！记得三连呀！\n帷幕娘在这里预祝诸位开拓者们新春快乐哦~！2025年诸事顺心，好运连连~！\n今后我们会上传更多高质量的作品哒~！喜欢的话别忘了点个关注哦！！\n\n【企划】：帷幕VMovie\n【监督】：多刺、时刻\n【统筹】：爬丝\n【脚本】：白十一\n【分镜】：绘相工作室\n【绘画】：Sky、ghost、马格南、阿呆咕、孔鸭洞、兔凃，,0
BV1NxBsY2Epf,这翁法罗斯给我干哪儿来了？,拔旗,同人·手书 (47),844454,334,12934,1606,1455,75949,2024-11-24 10:55:08,"求关注！！！
关注追番！三连催更！
关注拔旗！三连转发！
拜托啦！！！
这对我真的很重要！！！",113535665314330
BV15Z5RzAEp8,该给第三代转世起名字了,偿生LIAR,同人·手书 (47),838090,455,22811,3403,5863,72533,2025-04-23 11:45:00,"得知开拓者和三月七遭遇不测后，丹恒拿出了看家本领——？！

绘制：
沽取 偿生

分镜及剪辑参考：
BV1xdQ5YpENp",114383535478130
BV15DdfYuE3d,【豹豹碰碰大作战】节奏榜！谁是翁法罗斯最强的豹？,煤球_Official,手机游戏 (172),834322,2186,3265,820,1023,20654,2025-04-15 21:21:19,节奏榜为UP主观排行，机体的强度不能决定游戏的胜负，操纵者的技术才可以！,114342162859679
BV1KkNPebEmM,银狼加强后实机演示，我们银狼也是站起来了！,MRtianyan,单机游戏 (17),823237,134,366,54,319,7068,2025-02-08 08:00:00,"记忆里的银狼ⅹ
加强后的银狼✓",113963282989991
BV1U99QYKEmR,【星穹杯】比赛？逆环境选出流萤？四星主c首次登场？顶尖高手如何BP博弈？第五届星穹杯比赛开幕BP放送！,谁叫我洋葱,手机游戏 (172),814967,757,13033,17897,1052,32343,2025-03-08 11:55:00,"正片视频等选手库库凹分中~
大家可以点上关注呀，主播也会加班加点剪辑！
后续比赛也在筹办中，欢迎大家进群聊天，星穹杯借号唠嗑群：982017472
借号工作会在群内发布，用上你的账号会有一张小月卡~
——————————————————————
星队选手：@缘来我是皮卡丘  @凛裳落落落  @雾散星河明  
穹队选手：@小风-QAQ  @盼能常驻足  @不说再见-流年  
解说：@谁叫我洋葱  
BP文案、IP运营：@超能棉棉  @栩栩如枫-小灰毛星  
美工：@卿影_QYing  @洛河Lohana  
剪辑：@西北北bb  @谁叫我洋葱  
漫步天穹，开拓群星！",114124428153974
BV1niFSeaEWX,过年了 用黄金烫一幅非遗金箔画，星穹铁道阿格莱雅手绘,风雪阿虎,绘画 (162),809280,139,12828,2340,1472,90657,2025-01-31 11:19:08,-,113920803083802
BV1Qd6EYUEXo,亡？亡妻回忆录？？？,勿威勿微,手机游戏 (172),808741,308,15275,372,1298,81641,2024-12-31 17:19:45,,113746672421470
BV1ahdAYyE1v,【星铁3.2】遐蝶特有的五大细节！自带辅助线？,酸儒书生,手机游戏 (172),808451,801,7355,432,947,25402,2025-04-09 16:03:33,"相关游戏：崩坏星穹铁道
内容简介：遐蝶特有的五大细节！自带辅助线？",114306947485365
BV1KH6qYREMz,给崩铁OP何者加了点猛料,果蝇轰,手机游戏 (172),806654,13370,19399,24663,2253,82216,2025-01-02 12:41:06,"因为是男生版，导致伴奏改调所以我录了全部和声
这下当真是偶遇何者，拼尽全力终于战胜了",113756906455421
BV156Lnz6EF4,【崩铁动画】“乖孩子，你不必独自藏在床下，来，到我这里来”,竹下下下下下下,MMD·3D (25),806449,652,65194,18628,4942,141206,2025-04-25 23:15:45,"一个下雨的夜晚，卡芙卡微笑着，这样对你说。

人物模型：miHoYo/神帝宇/葵岚/blender布的 
动作：竹下 
渲染：卡渲秘咒 
配音：白菜工厂1145号员工
灵感参考：BV1aRFKe8EoP、BV1GR4y1z7zS（一位画画超惊艳的太太）BV15b411u7PJ
（这个是微恐怖的，但是也还好，其实我原本想做成恐怖的，但是女鬼海报的那种我暂时调色调不出来，不然真的可以试试那种细思极恐之类的？）",114399255727105
BV1PvcqeBE1m,澡堂的水竟然可以这么玩！崩铁制作组拿我们的内存干了什么！,摸鱼的傲雪,手机游戏 (172),801056,1814,5147,518,5931,29280,2025-01-15 14:06:07,破事水（真的水哈哈,113830826873605
BV1pbPkeZEst,阿格莱雅定分枪结果出来了....这分数居然那么特殊？,原神高玩专家-向晚,手机游戏 (172),800896,154,1050,2796,179,30044,2025-02-05 12:23:05,-,113949357901208
BV1GbNwe8ETH,和兄弟逃课被抓包,我的快乐小孩,MMD·3D (25),799465,139,14804,627,1101,120308,2025-02-04 11:42:01,"参考：BV1AJSiY6Ea2

模型：miHoYo/神帝宇/流云景/杰尔菲卡尔

动作：椛花化

场景：miHoYo/手席单推人/克里斯提亚娜

渲染：festivity

配音：
白厄@开心xy_ 
阿格莱雅&amp;遐蝶@云生s ",113943536211576
BV1zMcteNEbt,平民玩家玩星铁 你不仅得高“买”低“跳”，还得要细水长流~3.0全局抽卡规划！,绝云丘丘,手机游戏 (172),798826,2018,1838,845,759,15880,2025-01-14 18:37:59,,113826229916520
BV12SwceLER5,【崩坏星穹铁道】老日和老杨试半天密码才发现门没锁，怪不得周日哥说门没锁听起来这么幽怨,虚拟阿璃,手机游戏 (172),797901,94,8912,159,2396,75027,2025-01-18 13:35:20,-,113847721527687
BV1aFQZYSEbh,每个遗器本都是角色焚化炉——你刷的不是装备，是亲手给老婆订制的棺材板！,原神同人菌,手机游戏 (172),797865,660,3142,738,1338,56530,2025-03-19 18:11:54,,114188550673929
BV1YpwVepEpi,三月不语，只是一味的冻在那里T^T,闷骚黄焖坤,网络游戏 (65),792140,209,2434,74,153,54242,2025-01-16 20:19:50,-,113837990811220
BV1AW9QYoEFc,万敌与白厄的耐热泡澡比赛！小灰毛教你煮火锅！,瓶装白矮心,同人·手书 (47),790985,418,9055,2799,1651,76106,2025-03-08 11:30:14,万敌得了mvp,114124679814766
BV1RdKKenEyf,以防你没见过缇宝吃瘪的样子…咱就是说翁法罗斯的瓜也不保熟啊？,小夜来了o,综合 (27),790337,65,1620,47,230,29155,2025-02-15 00:38:26,-,114003212766832
BV1meNVeREvC,帮我一起骂开拓者！,神樂坂浮沉,手机游戏 (172),788140,161,18048,916,1230,92518,2025-02-08 21:40:08,"【Model】miHoYo/神帝宇/流云景

【Motion】自制

【Stage】MMD3DCGParts

AI：GPT-SOVITS/白菜工厂1145号员工/红血球AE3803",113968534261333
BV1eqdNYEEcv,只用一天就打穿星铁world？！几小时拿满星穹和光锥的简单攻略教学！,谭磊nb,手机游戏 (172),787723,983,11203,1330,4005,24557,2025-04-09 19:36:17,只用一天就打穿星铁world，拿满星穹和光锥的简单攻略教学！,114307786347115
BV1CUcReQEpk,这四位比原住民还像土著,去港口整点薯条吃,手机游戏 (172),787474,147,3174,79,356,38977,2025-01-17 17:53:34,-,113843074242422
BV1mHdmYbEQn,【星穹铁道】豹豹碰碰大作战 活动攻略/动感桌球/星穹铁道3.2,你的影月月,手机游戏 (172),777481,803,3616,3469,525,14860,2025-04-11 12:40:35,有帮助的话还请三连支持一下！,114317483573259
BV1335qzrEpn,AI黄金裔合唱《超级英雄》,Tiramisu_sk,手机游戏 (172),776575,1554,21657,2091,12885,73944,2025-04-17 23:42:47,AI黄金裔合唱《超级英雄》,114354057974359
BV18n5azFEdk,列车组成员霸凌黑天鹅珍贵录像流出（不像演的）,小唤鹿c,网络游戏 (65),775165,64,8066,428,8841,56055,2025-04-17 10:11:47,-,114350870300994
BV1X9cAe4E7s,【大病星铁】喝者~饮料~血糖战争,Lerlot爆棚桑,搞笑 (138),771065,483,27195,9333,17342,111220,2025-01-11 18:38:59,最费力气的一集！！！真的血糖飙升了,113809268148693
BV1ngwSeTEQv,《道铁穹星：坏崩》远离星穹——「天谴之矛，尼卡多利：古希腊掌管纷争的神」,陈歌舰长,手机游戏 (172),766296,1132,8652,6468,5390,43832,2025-02-17 07:30:00,"不败者，一切战场的领主，悬锋城与废墟的王， 
战车大匠，尸山王座，胜利父
荣耀僭主，裂地惊海的雷，翁法罗斯的守护者，
纷争的泰坦，天谴之矛，尼卡多利。
全体世间应听谴的将领，永恒且锋利的兵戈，纷争与断绝纷争的法则。
礼赞尼卡多利，最伟大的征服者，最伟大的守护者。
敬请收看崩坏特别节目《远离星穹》——「天谴之矛，尼卡多利：古希腊掌管纷争的神」。

特别感谢本视频的配音@银河偶像Robin ",114014872935973
BV1pRQyYvEnm,兄弟，看看胸椎,RK贝今天也很快乐,MMD·3D (25),759250,451,37796,8303,5423,74442,2025-03-15 10:09:34,"悬锋小伙坐正了！
借物表
模型：miHoYo/流云景/Adam/RK贝
MME：Rui/三金络合物/洪梓嫣/葵岚/そぼろ/ビームマンP/おたもん/P.I.P
动作镜头/剧本/配音统筹/视频制作：RK贝
BGM：Evan Call - Sleepy Frieren/Super Secret Magic Potions
白厄、穹 配音：xyxy小宇@xyxy小宇  
万敌 配音：烨刑SK@烨刑SK  

（我这回挨个比对着胸椎图的位置k的，但是毕竟不专业所以肯定还有不精确的地方，多多包涵啊hhh）
（k到最后都不知道自己在k什么了）",114164005602069
BV136LUz5ETL,崩铁中的概念神,提瓦特老村长,日常 (21),756497,213,5755,141,202,24455,2025-04-28 21:53:16,-,114415898728490
BV1MCwJeAEQ9,密码的浴池是要淹死虎克大人和龙尊大人吗,不评鉴的许劭,网络游戏 (65),755972,128,1586,166,1057,36093,2025-01-17 14:00:53,-,113842151495547
BV1ykcRedEpW,翁法罗斯有哪些逆天名场面？我的代码在你之上！,靖妖一心,手机游戏 (172),753802,4620,9085,296,336,71672,2025-01-17 18:09:10,"结尾素材：@秋名FD3s   配音：@配音木成  
关注靖妖，每天更新有趣的小发现！感谢观看！",113843141348900
BV1vRRCY4Eq4,ber？意思是翁法罗斯结束醒来才发现是匹诺康尼梦的开始？！,枫月咩,单机游戏 (17),753641,142,6385,162,3719,56718,2025-04-07 14:32:08,-,114295270543409
BV1FpwGeeEyb,遐蝶可爱捏,阿鱼Au_lishan,手机游戏 (172),753431,584,11820,862,813,66915,2025-01-16 12:51:23,遐蝶碰我了遐蝶心里有我,113836229199929
BV19MwEeTEFb,翁法罗斯的真理医生居然是BUG！官方凌晨火速修复！太欢愉了！,努力摆烂的白寒酥,手机游戏 (172),753232,359,4644,1249,2163,67273,2025-01-17 09:34:40,"太遗憾了是BUG。。。。。。
白打了.......",113841111303583
BV1n1P5eVE2J,小灰毛错把可莉当缇宝！可莉宝宝生气了！,瓶装白矮心,同人·手书 (47),751483,163,8146,2331,1237,63713,2025-02-26 11:26:15,道理我都懂，但是这个派蒙为什么这么大,114068039931078
BV11PwKeHEwS,《麦萤》,绫河001,手机游戏 (172),746300,401,8289,412,840,82722,2025-01-18 20:22:50,-,113849298590663
BV1nUwLeVESw,缇宝好像把铁道制作组都搞晕了,被风吹乱的发型,手机游戏 (172),746130,143,1996,73,371,38421,2025-01-16 22:59:46,配音搞反了啊喂！,113838611563985
BV1n5oEYvEz4,泛式看自己星铁领原画集条件不满足满脸疑惑：照理说我每天都登录的 不至于有15天没上吧！,游戏BBQ,手机游戏 (172),745070,113,822,53,311,8641,2025-04-14 21:32:05,"泛式直播间：https://live.bilibili.com/33989
大家点赞收藏三连，充电1B币即可获得BBQ粉丝牌哦！",114336525718125
BV1hEwFemEes,列车组真的是太会养孩子了，都把匹诺康尼大BOSS养成乖宝宝了.....,崩坏铁道上的荧妹,手机游戏 (172),744162,229,13223,335,1605,56761,2025-01-18 08:47:18,小鸟乖乖的,113846563898817
BV1pkwmeqEca,男生的胸肌真的练不过女生的么？,蛙哥游戏控,手机游戏 (172),743161,8,4034,125,37,13792,2025-01-21 12:00:00,,113858794557114
BV1x1dAYNEdX,原来赛飞儿才是真正意义上的把妹王啊（bushi）,十九是我取名好累,特摄 (86),741382,274,7723,141,319,54591,2025-04-09 14:15:27,-,114306528052736
BV1WGwHewEn2,你们崩铁玩家还真是油盐不进啊！,大魔王小葵吖,手机游戏 (172),731876,126,5324,85,149,47014,2025-01-17 18:00:00,你们崩铁玩家还真是油盐不进啊！,113841513959418
BV1qcrFYqEfV,记忆主到底写了啥？翁法罗斯文字翻译过程一次性解密！,托比昂首挺胸,手机游戏 (172),729590,548,18732,21904,2328,75535,2025-01-01 21:56:33,3.0前瞻里记忆主技能展示到底在写啥？,113753433575532
BV1d1LizHE9e,《崩坏：星穹铁道》二周年动画短片：「我独自救世」,夙曈,GMV (121),727382,3114,35980,30181,5254,94444,2025-04-26 10:00:00,"*本视频内容仅为二创，请以官方后续主线剧情为准~
BGM：ReawakeR-TV动画《我独自升级 第二季》片头曲
---------------
三月初就准备要在周年庆搞个大的！去年咱做了我独自升级第一季的OP，那么今年理所当然就是第二季啦！
又是做了一个多月（中间没忍住先把ED给做了）面前的电脑和自身的大脑都受到了相当程度的挑↓战↑
这次尝试了一些复杂的运镜和动作，即使有原OP作为参考也不可能做到百分百还原（那个经费爆炸的打戏谁能仿得来啊啊啊），所以打戏部分做了简化改动，同时也符合崩铁角色的技能设定，但依旧K动作K得发昏，这对于第一次K打戏的萌新来说还是太艰辛了（悲）仿什么不好仿这个！！有种玩艾斯爱慕的快感
还试着后期加了点特效，由于本人不会画画所以基本是用AE一帧帧抠出来的，这部分也还不太清楚标准的软件和流程，先将就一下吧，至少最终效果差强人意（

这一年也是我独自升级了，回看去年周年庆发的动画说得上是有些粗制滥造（
虽然现在流程还是很外行，但也能自己研究做出比较有难度的作品了
每次做完这类视频自己都会看上几十遍，自己现在能做出这么帅的视频真是太好了......

还有一点咱觉得还是有必要说的，“黑厄”目前是处于玩家猜测中的角色，尽管有多种线索指向盗火行者可能就是白厄，各类的假药也不少，但毕竟官方剧情还没有明确揭露盗火行者的真面目，拒绝擅自期待擅自破防，从你我做起！（看母鸡卡看多了导致的）不过这不影响二创做帅帅的黑厄！如果以后盗火行者另有其人，那么把黑厄当作一条if线看待也未尝不可（点头)，咱们自个儿捣鼓出来的黑厄设定细品起来还是很带感啊...

最后，祝《崩坏：星穹铁道》和各位开拓者们二周年快乐！
也希望各位开拓者能喜欢这次的动画短片~
咱们5月2号晚上的崩铁演唱会见！！
---------------
策划：夙曈
动画：夙曈
渲染：夙曈
特效：夙曈
后期：夙曈

-借物表-
大部分模型：miHoYo
缇里西庇俄丝：miHoYo/烦恼死的夏洛/填字小檀桌/林槿
盗火行者：miHoYo/给你柠檬椰果养乐多你会跟我玩吗
黑厄改模：夙曈

场景：miHoYo/网络资产",114391437542898
BV1Bw6zYjEZV,【最抽象何者】“翁法罗斯洗浴文化宣传曲”,司墨尧smile,原创音乐 (28),725849,3394,17874,10990,12706,65359,2025-01-02 17:34:00,"原作：《何者》
改编：司墨尧smile
混音：徐伊豆
原曲太高雅 我根据自己的理解又做了一遍题",113758030600138
BV1XidtY7Exk,【星穹铁道】3.2版本新增任务/走过安眠地的花丛/翁法罗斯/星穹铁道3.2,你的影月月,手机游戏 (172),725449,1116,4277,3502,350,10677,2025-04-09 13:08:25,"空间站黑塔-任务：BV1oa4y1V7Az
空间站黑塔-宝箱：BV1YM4y1a7wf
空间站黑塔-黑塔币：BV1pz4y1Y79r
雅利洛-Ⅵ-任务：BV1fL411Y71D
雅利洛-Ⅵ-宝箱：BV1mm4y1y77J
雅利洛-Ⅵ-冬城盾：BV19M4y187vT
仙舟罗浮-任务：BV11T41187jy
仙舟罗浮-宝箱：BV1sz4y1Y7mP
仙舟罗浮-巡镝：BV17s4y1R7SA
匹诺康尼-任务：BV1fB421B7j3
匹诺康尼-宝箱：BV1aZ421U7iu
匹诺康尼-贴纸：BV1TC41167zr
翁法罗斯-任务：BV1x1ceePE3A
翁法罗斯-宝箱：BV16Wc6ekEoP
有帮助的话还请三连支持一下！",114306242841068
BV1s6Ake4ETs,流萤：我将点燃翁法罗斯！,゚゚停云,手机游戏 (172),723136,649,6863,1678,10159,36088,2025-02-20 09:55:00,,114030458967221
BV1iLwwetEFr,翁法罗斯，主线高能伏笔！独家解析，卡芙卡流萤细节,Jerryprpr,手机游戏 (172),720827,4333,20036,3872,2039,77682,2025-01-18 12:28:31,感谢开拓者关注！ 欢迎加入星铁剧情交流群：923940488,113847436319399
BV1yudAYfEeE,遐蝶生命队全员养成攻略，配速 遗器 养成一应俱全,星穹小段,手机游戏 (172),720604,710,18720,3269,1075,14377,2025-04-09 17:22:16,,114307249477035
BV18cwHezEGg,【星穹铁道】伊利亚游记 活动攻略/道中杂记/英雄之旅/诸神秘仪/奇珍异宝/星穹铁道3.0,你的影月月,手机游戏 (172),719074,124,7738,3566,510,24704,2025-01-17 10:43:06,有帮助的话还请三连支持一下！,113841362960685
BV1VawhegEiA,原来有这么多缇宝吗,醉梦依舞月,手机游戏 (172),718587,80,3500,99,171,65487,2025-01-21 16:46:40,,113865455109086
BV1eaQyYnELx,【星穹杯】bp厮杀！ban舞舞舞！能够打出多少间0T？四星主c能否力挽狂澜？云璃排轴压迫感拉满！第五届星穹杯比赛“缇宝篇”正赛！,谁叫我洋葱,手机游戏 (172),717864,3904,23850,72756,8053,68518,2025-03-15 11:50:00,"后续比赛也在筹办中，欢迎大家进群聊天，星穹杯借号唠嗑群：982017472
借号工作会在群内发布，用上你的账号会有一张小月卡~
求求各位观众老爷三连关注吧！主播什么都会做的
————————————————————————
星队选手：@缘来我是皮卡丘  @凛裳落落落  @雾散星河明  
穹队选手：@小风-QAQ  @盼能常驻足  @不说再见-流年  
正片文案：@超能棉棉  
衔接文案：@栩栩如枫-小灰毛星  
美工：@卿影_QYing  @洛河Lohana  
剪辑：@西北北bb  

漫步天穹，开拓群星！",114164257267016
BV1vy5zzdEFr,你们翁法罗斯真是全员照骗,凉秋几度长梦,日常 (21),716996,324,7427,140,523,57420,2025-04-18 02:52:24,-,114354796105611
BV14MAzeQExx,开拓者：这翁法罗斯就是不错,堂主-7,网络游戏 (65),715907,83,5837,162,116,56603,2025-02-19 10:52:34,-,114028277995616
BV19fRwYkEfx,白巧克力好吃还是黑巧克力好吃？,烦恼死的夏洛,舞蹈综合 (154),713514,174,19722,1709,1880,50333,2025-03-06 12:06:29,"Model:mihoyo/流云景/烦恼死的夏洛
Stage:c753214896
Motion:mihoyo/烦恼死的夏洛/Yumetan",114113506182416
BV13nKPeqEUN,崩铁有又节奏了？究竟是什么引起大家的不满？ 来聊聊崩铁可能存在的问题以及我的看法,游星nice,手机游戏 (172),711698,3174,3206,3127,1515,31840,2025-02-14 15:03:17,相信星穹铁道 相信策划 相信项目组 相信大伟哥 总之先相信 等周年庆看看吧,114000947845708
BV18H5nzfENX,⚡米哈游，能不能放过我这一次😭👊🏻⚡,萌宠教主,GMV (121),710310,422,41386,10460,12266,99607,2025-04-19 10:00:00,"BGM：天真的橡皮
填词、剪辑：萌宠教主
调音：王牌p

游戏里，我只想做个阳光快乐的孩子！",114360416469114
BV18fwae6EoB,调戏蛋黄老师就像呼吸一样简单,神奇猫猫头,手机游戏 (172),705575,238,16622,630,992,63355,2025-01-21 20:24:46,-,113866310748524
